"","country","gdp","population","crimerate","education index","health index","GDPperCAPITA","cluster_numbr"
"1","Afghanistan",18734,38041754,6.66,0.398,173,513,3
"2","Albania",15418,2880917,2.29,0.715,55,5372,4
"3","Algeria",172781,43053054,1.36,0.658,81,3980,4
"4","Angola",91527,31825295,4.85,0.482,181,3037,3
"5","Antigua and Barbuda",1688,97118,10.33,0.694,86,18109,4
"6","Argentina",445469,44780677,5.32,0.808,75,9887,4
"7","Armenia",13444,2957731,1.69,0.73,104,4527,4
"8","Australia",1376255,25203198,0.89,0.939,32,53825,1
"9","Austria",447718,8955102,0.97,0.82,9,50022,1
"10","Azerbaijan",47171,10047718,2.2,0.723,109,4689,4
"11","Bahrain",38184,1641172,0.52,0.717,42,25273,4
"12","Bangladesh",317465,163046161,2.37,0.457,88,1905,2
"13","Barbados",5189,287025,9.7,0.773,46,18069,4
"14","Belarus",62572,9452411,2.39,0.834,72,6603,4
"15","Belgium",517609,11539328,1.7,0.841,21,45175,1
"16","Belize",2001,390353,37.9,0.704,69,4925,6
"17","Benin",14374,11801151,1.1,0.414,97,1216,2
"18","Bhutan",2842,763092,1.19,0.452,124,3423,2
"19","Bolivia",42401,11513100,6.3,0.656,126,3670,2
"20","Botswana",18690,2303697,15.04,0.658,169,7859,2
"21","Brazil",1847020,211049527,27.38,0.681,125,8796,6
"22","Bulgaria",66250,7000119,1.3,0.778,102,9518,4
"23","Burkina Faso",14593,20321378,1.3,0.262,132,717,3
"24","Burundi",3573,10864245,6.02,0.395,143,309,3
"25","Cambodia",26730,16486542,1.84,0.459,174,1620,3
"26","Cameroon",38632,25876380,1.4,0.493,164,1514,3
"27","Canada",1730914,37411047,1.76,0.89,30,46212,1
"28","Central African Republic",2321,4745185,19.76,0.338,189,447,3
"29","Chad",11026,15946876,9.04,0.28,178,861,3
"30","Chile",294237,18952038,4.4,0.784,33,15399,4
"31","China",14140163,1433783686,0.53,0.631,144,10098,5
"32","Colombia",327895,50339443,25.34,0.63,22,6508,6
"33","Comoros",1179,850886,7.7,0.469,118,1349,2
"34","Costa Rica",61021,5047561,11.26,0.684,36,12014,4
"35","Croatia",60702,4130304,0.58,0.798,43,14949,4
"36","Cyprus",24280,1179551,1.26,0.786,24,27719,4
"37","Denmark",347176,5771876,1.01,0.923,34,59795,1
"38","Djibouti",3166,973560,6.48,0.31,157,2936,3
"39","Dominica",593,71808,25.7,0.618,35,8380,6
"40","Dominican Republic",89475,10738958,10.05,0.622,51,8629,4
"41","Ecuador",107914,17373662,5.8,0.665,111,6249,2
"42","Egypt",302256,100388073,2.51,0.601,63,3046,4
"43","El Salvador",26871,6453553,52.02,0.584,115,4008,6
"44","Equatorial Guinea",12142,1355986,2.31,0.439,171,8927,3
"45","Eritrea",2110,3497117,8.04,0.267,158,342,3
"46","Estonia",31038,1325648,2.12,0.877,77,23523,4
"47","Ethiopia",91166,112078730,7.56,0.318,180,953,3
"48","Fiji",5708,889953,2.26,0.777,96,6379,4
"49","Finland",269654,5532156,1.63,0.847,31,48868,1
"50","France",2707074,65129728,1.2,0.839,1,41760,1
"51","Gabon",16877,2172579,8.04,0.618,139,8112,2
"52","Georgia",15925,3996765,2.22,0.794,114,4289,4
